,pospair,negpair
7203,*MOT: how about this Humpty Dumpty puzzle ?	*CHI: just like Daddy .,*MOT: how about this Humpty Dumpty puzzle ?	*CHI: x doing this .
7204,"*MOT: yesterday you had a tomato , did you ?	*CHI: in the park .","*MOT: yesterday you had a tomato , did you ?	*CHI: next to there ."
7205,*MOT: do you want to read it ?	*CHI: I a monkey .,*MOT: do you want to read it ?	*CHI: I needta look .
7206,*MOT: can't do it .	*CHI: what's in there ?,*MOT: can't do it .	*CHI: it's a c .
7207,"*MOT: willn't give up , will you ?	*CHI: make it again .","*MOT: willn't give up , will you ?	*CHI: you broke it ."
7208,*MOT: what do you know ?	*CHI: horse on the farm .,*MOT: what do you know ?	*CHI: want to put it .
7209,*MOT: how are you doing ?	*CHI: make another farm .,*MOT: how are you doing ?	*CHI: that one there .
7210,*MOT: why's the baby crying ?	*CHI: because him don't want take a bath .,*MOT: why's the baby crying ?	*CHI: I want to go up that big ladder .
7211,*MOT: what was that duck doing ?	*CHI: he is swimming .,*MOT: what was that duck doing ?	*CHI: say Mrs Gwww .
7212,*MOT: what do you want me to do ?	*CHI: put them on .,*MOT: what do you want me to do ?	*CHI: its this green .
7213,*MOT: the oven went off ?	*CHI: tell winnie your food is ready .,*MOT: the oven went off ?	*CHI: I want my bibbie .
7214,"*MOT: what what does uh, what do you do with cheese ?	*CHI: keep it as a pet .","*MOT: what what does uh, what do you do with cheese ?	*CHI: car go up a apples ."
7215,*MOT: a rabbit eats cheese ?	*CHI: oh I forgot I forgot .,*MOT: a rabbit eats cheese ?	*CHI: oh where's the nail ?
7216,*MOT: what's he doing ?	*CHI: he's playing baseball .,*MOT: what's he doing ?	*CHI: that's peanut butter .
7217,*MOT: what does that baby look like ?	*CHI: uh I don't know .,*MOT: what does that baby look like ?	*CHI: yes I'm finished eating .
7218,*MOT: which one was it ?	*CHI: a train fall over .,*MOT: which one was it ?	*CHI: I found another plate .
7219,*MOT: what are you talking about ?	*CHI: oh lie down .,*MOT: what are you talking about ?	*CHI: all eating table .
7220,*MOT: oh look Purdie's coming now .	*CHI: what going on ?,*MOT: oh look Purdie's coming now .	*CHI: oh pardon me .
7221,*MOT: where do you think the sun has gone too ?	*CHI: a dark moon .,*MOT: where do you think the sun has gone too ?	*CHI: I want to .
7222,"*MOT: what do you think she needs , Thomas ?	*CHI: want something play .","*MOT: what do you think she needs , Thomas ?	*CHI: there two birds ."
7223,*MOT: do you think we're doing it right ?	*CHI: on Mummy's head .,*MOT: do you think we're doing it right ?	*CHI: it's a doctor .
7224,*MOT: what about Mummy ?	*CHI: Thomas poorly toe .,*MOT: what about Mummy ?	*CHI: what that for ?
7225,*MOT: no no no !	*CHI: chess set Daddy's ?,*MOT: no no no !	*CHI: what's that dancing ?
7226,*MOT: what are we waiting for ?	*CHI: and Scamp just hiding behind Cathy .,*MOT: what are we waiting for ?	*CHI: Rosie wants to sit next to me .
7227,"*MOT: what color was Scamp ?	*CHI: , I don't know .",*MOT: what color was Scamp ?	*CHI: he's at my home .
7228,*MOT: behind him what did he have ?	*CHI: I don't know .,*MOT: behind him what did he have ?	*CHI: it's a cart .
7229,"*MOT: they all looked like his mommy Lady, and he had a friend .	*CHI: what was her name ?","*MOT: they all looked like his mommy Lady, and he had a friend .	*CHI: it's another tiger ."
7230,*MOT: now what were you talking about again ?	*CHI: I want a milkshake .,*MOT: now what were you talking about again ?	*CHI: are these all mine ?
7231,"*MOT: on the milkshake box ?	*CHI: , I don't know .",*MOT: on the milkshake box ?	*CHI: I know how to get .
7232,*MOT: you don't know what that is ?	*CHI: a cow drinking a milkshake .,"*MOT: you don't know what that is ?	*CHI: make bad toys , mom ."
7233,*MOT: what's the baby going to do ?	*CHI: I don't know .,*MOT: what's the baby going to do ?	*CHI: at Jwww's house .
7234,*MOT: whatcha doing there kid ?	*CHI: putting my pack on butt .,*MOT: whatcha doing there kid ?	*CHI: I have got your icecream .
7235,"*MOT: I'll tell you that much, for free .	*CHI: can we draw ?","*MOT: I'll tell you that much, for free .	*CHI: no more please ."
7236,"*MOT: wow, that's great, Bug .	*CHI: there, draw Cinderella ?","*MOT: wow, that's great, Bug .	*CHI: hey that's mine ."
7237,*MOT: would you like ?	*CHI: oh I'll have two then .,*MOT: would you like ?	*CHI: take that off for me please ?
7238,*MOT: okay shall we take the tiger to the hospital then ?	*CHI: round and round and round .,*MOT: okay shall we take the tiger to the hospital then ?	*CHI: do not got a digger .
7239,"*MOT: we've got another one haven't we ?	*CHI: yeah , some here .",*MOT: we've got another one haven't we ?	*CHI: where's Auntie Lwww ?
7240,*MOT: what happens if you drink your wine too quickly ?	*CHI: I will sit down .,*MOT: what happens if you drink your wine too quickly ?	*CHI: there is some more .
7241,*MOT: do you want to do some lego ?	*CHI: it's all my wine .,*MOT: do you want to do some lego ?	*CHI: shall I do it again ?
7242,"*MOT: what's inside , what can you see ?	*CHI: oh there's two doors .","*MOT: what's inside , what can you see ?	*CHI: ah yeah it's funny ."
7243,"*MOT: whose birthday is it ?	*CHI: , only rabbits .","*MOT: whose birthday is it ?	*CHI: hello , Scoop ."
7244,"*MOT: and what other things do you think they need for their birthday ?	*CHI: , I'll ask .",*MOT: and what other things do you think they need for their birthday ?	*CHI: don't need this .
7245,"*MOT: do you still want to do the birthday party ?	*CHI: I know what's in there , but , but some of them wants this one .","*MOT: do you still want to do the birthday party ?	*CHI: yeah , it's all on it , it lives on the bottom of the sea ."
7246,"*MOT: what flavor's yours ?	*CHI: , box , mine is .",*MOT: what flavor's yours ?	*CHI: it doesn't fit in .
7247,"*MOT: can I have vanilla ?	*CHI: no , you've got telly .",*MOT: can I have vanilla ?	*CHI: is the tape recorder all finished .
7248,*MOT: where are they going to go ?	*CHI: I don't know .,*MOT: where are they going to go ?	*CHI: and this is bed .
7249,*MOT: oh is that for me ?	*CHI: no I'm going to stuck them together .,*MOT: oh is that for me ?	*CHI: I don't know remember what it is .
7250,*MOT: what noise does it make ?	*CHI: nee naw nee naw .,*MOT: what noise does it make ?	*CHI: it's yours now .
7251,"*MOT: funny isn't it ?	*CHI: yeah , big , long piece .",*MOT: funny isn't it ?	*CHI: I'm going to eat yours .
7252,*MOT: now what would you like ?	*CHI: a pack of double sweet .,"*MOT: now what would you like ?	*CHI: here you go , Nina ."
7253,*MOT: why can't you see ?	*CHI: the sun in my eyes .,*MOT: why can't you see ?	*CHI: can they go in here ?
7254,*MOT: what was that ?	*CHI: momma lamb and baby lamb .,*MOT: what was that ?	*CHI: now can I do it .
7255,*MOT: here move this way .	*CHI: where's the head ?,*MOT: here move this way .	*CHI: I don't know .
7256,*MOT: there you go .	*CHI: hm what goes on the head ?,*MOT: there you go .	*CHI: they don't move on there .
7257,*MOT: oh you're right .	*CHI: what is that ?,*MOT: oh you're right .	*CHI: there you go .
7258,*MOT: there we are .	*CHI: do you have the money to give me ?,*MOT: there we are .	*CHI: we're going to write it on that .
7259,*MOT: are there any passengers on the bus with me ?	*CHI: there's few getting off and some .,*MOT: are there any passengers on the bus with me ?	*CHI: put it in oven baby and me .
7260,*MOT: little girl with the trolley bus ?	*CHI: oh there she is .,"*MOT: little girl with the trolley bus ?	*CHI: in there , Mama ."
7261,*MOT: what's your favorite vegetable ?	*CHI: the red things .,"*MOT: what's your favorite vegetable ?	*CHI: , , mm ."
7262,"*MOT: what are those ?	*CHI: I think they're, I think they're apple, I think they're apples .",*MOT: what are those ?	*CHI: it just went in the water and it went in the water and it went off .
7263,*MOT: oh a long time ago .	*CHI: where did she die ?,*MOT: oh a long time ago .	*CHI: what happened my back .
7264,*MOT: and then he drops it back down .	*CHI: on his toe ?,"*MOT: and then he drops it back down .	*CHI: just , Mummy ."
7265,*MOT: we get those all the time don't we ?	*CHI: because I like them .,*MOT: we get those all the time don't we ?	*CHI: I've got this .
7266,*MOT: you don't like apple pie ?	*CHI: no because it has these crust .,*MOT: you don't like apple pie ?	*CHI: a Bella Doodles a Jake .
7267,"*MOT: where are you going ?	*CHI: play, eat, make tea .",*MOT: where are you going ?	*CHI: cause a monster might get him .
7268,*MOT: okay so he's a boy .	*CHI: what were we making the girl ?,*MOT: okay so he's a boy .	*CHI: the cat has all gone blood .
7269,"*MOT: you're putting it in the teacup again , how come you're putting it in the teacup ?	*CHI: to make a big tower .","*MOT: you're putting it in the teacup again , how come you're putting it in the teacup ?	*CHI: because it's too big ."
7270,*MOT: water in his tank .	*CHI: wait that's a great idea !,*MOT: water in his tank .	*CHI: and I'm eating high chair .
7271,*MOT: hi where are you ?	*CHI: I live here .,*MOT: hi where are you ?	*CHI: that bunny stuck .
7272,"*MOT: you're fixing a problem ?	*CHI: well you got to hurry , you got to , bring some supplies to bring here .","*MOT: you're fixing a problem ?	*CHI: I, no, that, those are, but , those are supposed to be girl dolls ."
7273,*MOT: it may be jack but I don't remember .	*CHI: what is this ?,*MOT: it may be jack but I don't remember .	*CHI: wee wee that .
7274,*MOT: what do you think ?	*CHI: I want this off .,*MOT: what do you think ?	*CHI: it's her size .
7275,*MOT: now what you going to do with baby ?	*CHI: this is stroller .,*MOT: now what you going to do with baby ?	*CHI: I bump my .
7276,*MOT: do you remember what kind of cheese is Firstname's favorite cheese ?	*CHI: no I don't .,*MOT: do you remember what kind of cheese is Firstname's favorite cheese ?	*CHI: I don't know .
7277,*MOT: you remember that .	*CHI: but I don't like it right ?,*MOT: you remember that .	*CHI: that's all the stickers we have .
7278,*MOT: why do you think it's a baby boy ?	*CHI: because of his face .,"*MOT: why do you think it's a baby boy ?	*CHI: well , we can ."
7279,*MOT: do you think that a puppy would give you kisses all over ?	*CHI: no he won't .,*MOT: do you think that a puppy would give you kisses all over ?	*CHI: stick on the window .
7280,*MOT: you don't think so ?	*CHI: I know he won't .,*MOT: you don't think so ?	*CHI: no don't sing it .
7281,"*MOT: did you see, when you went with Daddy Saturday did you see a pig then ?	*CHI: I seen baby ones in the barn .","*MOT: did you see, when you went with Daddy Saturday did you see a pig then ?	*CHI: you don't want to eat it ."
7282,*MOT: why do you think that's beautiful ?	*CHI: because that go window .,*MOT: why do you think that's beautiful ?	*CHI: Anna's baby out .
7283,*MOT: trapeze that's called .	*CHI: but where'd you put the jigsaw ?,*MOT: trapeze that's called .	*CHI: he going to try a different nose .
7284,*MOT: come to our circus .	*CHI: but why's he say roll off ?,*MOT: come to our circus .	*CHI: I got one of these at playgroup .
7285,*MOT: brilliant that hey ?	*CHI: let's do it again .,*MOT: brilliant that hey ?	*CHI: one two three four five .
7286,*MOT: you're remembering really good .	*CHI: where does this go ?,*MOT: you're remembering really good .	*CHI: I just want to .
7287,*MOT: I bet you'll do it in ten seconds .	*CHI: where's this go ?,*MOT: I bet you'll do it in ten seconds .	*CHI: I want garbage truck .
7288,*MOT: who's that one ?	*CHI: Winnie the pooh .,*MOT: who's that one ?	*CHI: on a bus !
7289,*MOT: and who's been sleeping in my bed ?	*CHI: that's big Daddy's .,*MOT: and who's been sleeping in my bed ?	*CHI: and there's another cat .
7290,*MOT: and who's been eating all my porridge ?	*CHI: but I need to say something .,*MOT: and who's been eating all my porridge ?	*CHI: I want honey on my waffle .
7291,*MOT: did you not peep that time no ?	*CHI: think this is the .,*MOT: did you not peep that time no ?	*CHI: put it on here .
7292,*MOT: shall we get them out and look at the shapes ?	*CHI: but I like this .,*MOT: shall we get them out and look at the shapes ?	*CHI: day who did it ?
7293,*MOT: what color shall we collect now ?	*CHI: this is good playing .,*MOT: what color shall we collect now ?	*CHI: oh that is silly .
7294,*MOT: I can see one more .	*CHI: where is it ?,*MOT: I can see one more .	*CHI: going night night .
7295,*MOT: want to check him over ?	*CHI: he's not alright .,*MOT: want to check him over ?	*CHI: eat a must haveche .
7296,*MOT: is that what thunder sounds like ?	*CHI: do it again .,*MOT: is that what thunder sounds like ?	*CHI: a line baby .
7297,*MOT: it's pouring down .	*CHI: did I say a naughty word ?,*MOT: it's pouring down .	*CHI: going to color it all in .
7298,*MOT: what else do you see ?	*CHI: I want spoon .,*MOT: what else do you see ?	*CHI: build a space .
7299,*MOT: what you see ?	*CHI: I have a spoon .,*MOT: what you see ?	*CHI: that doggy and Snoopy .
7300,*MOT: there good job .	*CHI: where'does it go ?,*MOT: there good job .	*CHI: thank you I like this .
7301,"*MOT: can you count them ?	*CHI: one, two, three, four, five .",*MOT: can you count them ?	*CHI: they are for all the children that love me .
7302,*MOT: will they all fit ?	*CHI: help me do her .,*MOT: will they all fit ?	*CHI: I make a jigsaw .
7303,"*MOT: so how many babies are there now ?	*CHI: one, two, three, four .",*MOT: so how many babies are there now ?	*CHI: and bring me a pig with it ?
7304,"*MOT: op there are some penguins out, aren't there ?	*CHI: we need to get all them out .","*MOT: op there are some penguins out, aren't there ?	*CHI: because I didn't like bubble ride ."
7305,*MOT: going to find the babies ?	*CHI: I open them .,*MOT: going to find the babies ?	*CHI: what is that ?
7306,*MOT: or do you want to get dressed ?	*CHI: sit in the window .,*MOT: or do you want to get dressed ?	*CHI: don't like it .
7307,*MOT: ain't nothing but a mistake .	*CHI: why does it misstake ?,*MOT: ain't nothing but a mistake .	*CHI: cause I want to open it .
7308,*MOT: Hundred and one dalmations ?	*CHI: I just want to read jungle book .,*MOT: Hundred and one dalmations ?	*CHI: Daddy upstairs eh eh Daddy bring that .
7309,*MOT: I don't think it's a snake .	*CHI: what is it ?,*MOT: I don't think it's a snake .	*CHI: come here baby .
7310,*MOT: where does it go ?	*CHI: this one goes .,*MOT: where does it go ?	*CHI: want a wee .
7311,*MOT: that's what they call these doggies with spots .	*CHI: does this go there ?,"*MOT: that's what they call these doggies with spots .	*CHI: that , this right ."
7312,*MOT: where is he ?	*CHI: he's at home .,*MOT: where is he ?	*CHI: there's no grass .
7313,*MOT: are you putting your tissue on the window to keep it safe ?	*CHI: whoa I just slipped .,*MOT: are you putting your tissue on the window to keep it safe ?	*CHI: start the boat this .
7314,*MOT: are you sure ?	*CHI: that was good .,*MOT: are you sure ?	*CHI: is that Polly ?
7315,*MOT: a long time ago .	*CHI: was Daddy was ?,*MOT: a long time ago .	*CHI: you do that .
7316,"*MOT: so that's a good job then , isn't it ?	*CHI: I like Yorkshire pudding .","*MOT: so that's a good job then , isn't it ?	*CHI: you can color whatever you want ."
7317,"*MOT: can you come and see him please ?	*CHI: Spuddy's hurt himself , look .",*MOT: can you come and see him please ?	*CHI: help me with his nightgown on .
7318,*MOT: who are you ?	*CHI: I'm Grandpa again .,*MOT: who are you ?	*CHI: I don't know .
7319,"*MOT: I'm Grandpa as well .	*CHI: two Grandpas , isn't they ?",*MOT: I'm Grandpa as well .	*CHI: then you do it with your hands .
7320,*MOT: who are you ?	*CHI: I'm billy goat .,*MOT: who are you ?	*CHI: a rhinoceros has horns .
7321,*MOT: what's your name ?	*CHI: I want to sit here .,*MOT: what's your name ?	*CHI: I don't do that .
7322,*MOT: you can pretend it's a washcloth for Mommy .	*CHI: and wet it in the water ?,*MOT: you can pretend it's a washcloth for Mommy .	*CHI: the basket costs a dollar .
7323,*MOT: I don't know .	*CHI: does the needle no working ?,*MOT: I don't know .	*CHI: where does it go then ?
7324,*MOT: what are you doing now ?	*CHI: I going to wear this necklace on when I wear it .,*MOT: what are you doing now ?	*CHI: because I'm still trying to get out of the present .
7325,*MOT: what did you do ?	*CHI: I put the hair in your face .,"*MOT: what did you do ?	*CHI: you're bit of devil , Mummy ."
7326,*MOT: who taught you that word ?	*CHI: make some more between those blocks .,*MOT: who taught you that word ?	*CHI: why does she have a needle ?
7327,*MOT: where are they ?	*CHI: just find them .,*MOT: where are they ?	*CHI: two moneys please .
7328,*MOT: where are you going to put these people ?	*CHI: right on those blocks .,"*MOT: where are you going to put these people ?	*CHI: hello , Sammy spider ."
7329,*MOT: which Snoopy did you give to Spencer ?	*CHI: the little tiny one .,*MOT: which Snoopy did you give to Spencer ?	*CHI: I don't know .
7330,*MOT: and what did you take ?	*CHI: the little tiny one .,*MOT: and what did you take ?	*CHI: that's a clown .
7331,*MOT: where does he want to sleep ?	*CHI: in his crib .,*MOT: where does he want to sleep ?	*CHI: want other one .
7332,*MOT: how should I knock it over ?	*CHI: just go like this .,*MOT: how should I knock it over ?	*CHI: I don't know .
7333,*MOT: how come there's scotch tape on them ?	*CHI: cause they want the .,*MOT: how come there's scotch tape on them ?	*CHI: can I sit on .
7334,*MOT: you mean fish ?	*CHI: big whales that jump out of the water like this .,"*MOT: you mean fish ?	*CHI: Mum , are you going to play buns or not ?"
7335,*MOT: and they're going to do what in line ?	*CHI: wait till Sammy gets out of the way .,*MOT: and they're going to do what in line ?	*CHI: because I've got loads of money nearly .
7336,*MOT: who's Sammy the seal ?	*CHI: he's in a zoo .,*MOT: who's Sammy the seal ?	*CHI: oh it's closed now .
7337,*MOT: and what did you do with the goats ?	*CHI: feed them food .,*MOT: and what did you do with the goats ?	*CHI: watch a Pippin .
7338,*MOT: do you think ?	*CHI: he's feeding a elephant .,*MOT: do you think ?	*CHI: they're in the front .
7339,*MOT: that seal's kissing the boy .	*CHI: what are they doing there ?,*MOT: that seal's kissing the boy .	*CHI: Mom have to wash it .
7340,*MOT: because they could bite you .	*CHI: why is he picking up a lion ?,"*MOT: because they could bite you .	*CHI: well , in case , it was ."
7341,*MOT: and the man must have said it was okay to go inside .	*CHI: what is she doing there ?,*MOT: and the man must have said it was okay to go inside .	*CHI: where's the train now ?
7342,*MOT: what's he doing here ?	*CHI: looking at a story of the zoo .,*MOT: what's he doing here ?	*CHI: I want a drink of water Mommy .
7343,*MOT: do we go for walks in the woods sometime ?	*CHI: to my Mommy's .,*MOT: do we go for walks in the woods sometime ?	*CHI: duck in the cupboard .
7344,*MOT: and what is he doing with the furry goat ?	*CHI: giving him a bottle .,*MOT: and what is he doing with the furry goat ?	*CHI: snipsnips a trees .
7345,"*MOT: and these are .	*CHI: that , Mummy ?",*MOT: and these are .	*CHI: I do not .
7346,"*MOT: what are you doing over there , Fraser ?	*CHI: a blue blue a .","*MOT: what are you doing over there , Fraser ?	*CHI: little girl ice cream ."
7347,*MOT: is he tired ?	*CHI: a get it .,*MOT: is he tired ?	*CHI: what first milk .
7348,*MOT: you clever boy .	*CHI: a balls have ?,*MOT: you clever boy .	*CHI: here they are .
7349,"*MOT: pardon , darling ?	*CHI: pass the parcel .","*MOT: pardon , darling ?	*CHI: I want b ."
7350,*MOT: where's your jigsaw puzzle ?	*CHI: I don't know .,*MOT: where's your jigsaw puzzle ?	*CHI: one two three four .
7351,"*MOT: I don't know , Helen .	*CHI: shall we go and see her ?","*MOT: I don't know , Helen .	*CHI: I bang it on that thing ."
7352,"*MOT: when it was in .	*CHI: Mummy , what's there ?",*MOT: when it was in .	*CHI: that crack I'm mending .
7353,*MOT: he went to ?	*CHI: bed and bumped his head and couldn't get up in the morning .,"*MOT: he went to ?	*CHI: they , they got really sour when they get sour they get pickles ."
7354,*MOT: to see you .	*CHI: at my house ?,*MOT: to see you .	*CHI: what is color ?
7355,*MOT: but which children were you going to make die ?	*CHI: Johnnie and Christopher .,*MOT: but which children were you going to make die ?	*CHI: somebody chopped them off .
7356,*MOT: hey what does that sound like ?	*CHI: frogs and bugs .,*MOT: hey what does that sound like ?	*CHI: is that mine ?
7357,*MOT: well then what kind of presents did you get for your birthday ?	*CHI: R two D two .,*MOT: well then what kind of presents did you get for your birthday ?	*CHI: I need the potty !
7358,*MOT: what else does little bear do ?	*CHI: I put this on his head .,*MOT: what else does little bear do ?	*CHI: I didn't have any water .
7359,*MOT: where does where was the mice family going ?	*CHI: to a picnic .,*MOT: where does where was the mice family going ?	*CHI: this a baby ?
7360,*MOT: what are you going to do ?	*CHI: I'm trying get a berry out .,*MOT: what are you going to do ?	*CHI: you close your eyes until I say open .
7361,*MOT: how about what ?	*CHI: I want you hold me mommy bear .,*MOT: how about what ?	*CHI: I am going to hold her hands .
7362,*MOT: hello hello did you order the pizza ?	*CHI: I only like berries .,*MOT: hello hello did you order the pizza ?	*CHI: I want to hear .
7363,*MOT: but wait you have to pay me !	*CHI: here's the money .,*MOT: but wait you have to pay me !	*CHI: because you're big .
7364,*MOT: did you go swimming ?	*CHI: I just was trying to catch daddy .,"*MOT: did you go swimming ?	*CHI: where put it , where put it ."
7365,*MOT: what did we do after we went swimming hm ?	*CHI: yeah but when trying to catch daddy .,*MOT: what did we do after we went swimming hm ?	*CHI: can you hold it there like that ?
7366,*MOT: well then what happened after you went swimming at Dr Weist's house what'd you do next ?	*CHI: I keep on playing in the water .,*MOT: well then what happened after you went swimming at Dr Weist's house what'd you do next ?	*CHI: I just runned on the beach .
7367,*MOT: these are heating pads what are they for ?	*CHI: I want in bucket .,"*MOT: these are heating pads what are they for ?	*CHI: hello , pooey ."
7368,*MOT: hey you know Ericka also does not know that we went to the zoo last week with James .	*CHI: and Roman and Sophie too !,*MOT: hey you know Ericka also does not know that we went to the zoo last week with James .	*CHI: he's hurt his foot .
7369,*MOT: do you fly a spaceship to Neverland ?	*CHI: yeah this is .,*MOT: do you fly a spaceship to Neverland ?	*CHI: or like water .
7370,*MOT: okay are we at Neverland ?	*CHI: no not yet !,*MOT: okay are we at Neverland ?	*CHI: red and green .
7371,*MOT: we got to do what ?	*CHI: go home more .,*MOT: we got to do what ?	*CHI: that get out .
7372,*MOT: just seeing you in the blanket .	*CHI: where is she now ?,*MOT: just seeing you in the blanket .	*CHI: out of the bones .
7373,*MOT: where do you think you want to put the wall ?	*CHI: don't dump that over .,"*MOT: where do you think you want to put the wall ?	*CHI: I , hi , hi ."
7374,*MOT: why is he sad ?	*CHI: he's lost in the woods .,*MOT: why is he sad ?	*CHI: there's always something happening here .
7375,*MOT: do you want to see the same purple as the flower ?	*CHI: these children have these at nursery school .,*MOT: do you want to see the same purple as the flower ?	*CHI: no these are Tweedle Bug .
7376,*MOT: round of these ?	*CHI: a kitty cat !,*MOT: round of these ?	*CHI: Caroline bought that .
7377,*MOT: what's it doing in the garden ?	*CHI: zero don't know .,*MOT: what's it doing in the garden ?	*CHI: I sound like Abe .
7378,*MOT: is that right ?	*CHI: hitting bing bing .,*MOT: is that right ?	*CHI: night night Mummy .
7379,*MOT: what are you doing ?	*CHI: I need this .,*MOT: what are you doing ?	*CHI: I go squeak .
7380,*MOT: Mummy doesn't have yellow sunglasses .	*CHI: is that yours ?,*MOT: Mummy doesn't have yellow sunglasses .	*CHI: Baaee has eyes .
7381,*MOT: it goes over your ears .	*CHI: is that better ?,*MOT: it goes over your ears .	*CHI: a b c .
7382,*MOT: I don't know .	*CHI: where's your magazines ?,*MOT: I don't know .	*CHI: he having a sleep .
7383,*MOT: you sorted them out ?	*CHI: I sort the books .,*MOT: you sorted them out ?	*CHI: mom then the just .
7384,*MOT: aren't you a clever boy ?	*CHI: I sort them out .,*MOT: aren't you a clever boy ?	*CHI: that doesn't work .
7385,"*MOT: what are you doing , Fraser ?	*CHI: I sort them out .","*MOT: what are you doing , Fraser ?	*CHI: no it's not ."
7386,*MOT: what's this here ?	*CHI: it's Tiger there .,*MOT: what's this here ?	*CHI: that is the ketchup .
7387,*MOT: Mister Skinny's there .	*CHI: no who is this ?,*MOT: Mister Skinny's there .	*CHI: you wait and see .
7388,*MOT: is that a bird ?	*CHI: they're all the birds .,*MOT: is that a bird ?	*CHI: where's my dak .
7389,"*MOT: what , darling ?	*CHI: I sorted Jwww's new all the Mister Men books .","*MOT: what , darling ?	*CHI: I can't hear because my eyes are wetted ."
7390,*MOT: have you missed Daddy ?	*CHI: Daddy's just my friend .,*MOT: have you missed Daddy ?	*CHI: I can get through it .
7391,*MOT: do you want to go and find Daddy ?	*CHI: I sort them books .,*MOT: do you want to go and find Daddy ?	*CHI: she's a fairy .
7392,*MOT: which nursery rhyme was that ?	*CHI: baabaababa diddle liddle lee .,*MOT: which nursery rhyme was that ?	*CHI: all manner of goods he's got it .
7393,"*MOT: I'm sorry , darling .	*CHI: where's my cup ?","*MOT: I'm sorry , darling .	*CHI: mommy , this is ."
7394,*MOT: what did Robin do ?	*CHI: pulled my hair there .,*MOT: what did Robin do ?	*CHI: that's a man .
7395,"*MOT: they sit over there , don't they ?	*CHI: ups a daisy .","*MOT: they sit over there , don't they ?	*CHI: , them here ."
7396,*MOT: what do you think it is ?	*CHI: it's a ferryboat .,*MOT: what do you think it is ?	*CHI: what's hanging from the microphone ?
7397,*MOT: why is Sonny sad darling ?	*CHI: look a bird .,*MOT: why is Sonny sad darling ?	*CHI: we ate there .
7398,*MOT: there we go .	*CHI: where the bricks ?,*MOT: there we go .	*CHI: yeah my got .
7399,*MOT: should I eat your chocolate nose ?	*CHI: it's a strawberry .,*MOT: should I eat your chocolate nose ?	*CHI: where's the mud ?
7400,*MOT: what happened to the picture that was hanging there ?	*CHI: it fell off .,*MOT: what happened to the picture that was hanging there ?	*CHI: you read it .
7401,*MOT: you could do it the colors of the rainbow if you want .	*CHI: this one next ?,*MOT: you could do it the colors of the rainbow if you want .	*CHI: I hear Daddy .
7402,*MOT: what did you paint a picture of ?	*CHI: now I'm play .,*MOT: what did you paint a picture of ?	*CHI: this in her eye .
7403,*MOT: what are you doing then ?	*CHI: just looking for another book .,*MOT: what are you doing then ?	*CHI: look like a dustbin man .
7404,*MOT: I don't know .	*CHI: how does it jump like that ?,*MOT: I don't know .	*CHI: that's what I should take .
7405,*MOT: where are you going ?	*CHI: I need a wee wee .,"*MOT: where are you going ?	*CHI: yeah , I'm okay ."
7406,*MOT: like everything else .	*CHI: do it needs batteries ?,*MOT: like everything else .	*CHI: oh boo boos .
7407,*MOT: shall we go in the garden ?	*CHI: I just going to put my .,*MOT: shall we go in the garden ?	*CHI: you could give Chris a hug .
7408,*MOT: you'll break it .	*CHI: but can I just do this ?,*MOT: you'll break it .	*CHI: I'm going to eat it .
7409,*MOT: away from little hands like yours .	*CHI: can I just do it gently ?,*MOT: away from little hands like yours .	*CHI: that one looks like a tiger .
7410,*MOT: look how big your sunflower's getting now .	*CHI: where's daddy long legs ?,*MOT: look how big your sunflower's getting now .	*CHI: and my bump my head ?
7411,*MOT: they don't know how to fly out for some reason .	*CHI: but where is daddy long legs ?,*MOT: they don't know how to fly out for some reason .	*CHI: they said it to me mum .
7412,*MOT: what's the matter ?	*CHI: look what I did .,*MOT: what's the matter ?	*CHI: which Grandma and Granddad ?
7413,*MOT: I don't know which school .	*CHI: a car coming !,*MOT: I don't know which school .	*CHI: guess they did .
7414,*MOT: that's Mummy's plants .	*CHI: but what is that on your plant ?,*MOT: that's Mummy's plants .	*CHI: oh no Mummy has miss the train .
7415,*MOT: it's got lots of different colored flowers on it .	*CHI: what was that ?,*MOT: it's got lots of different colored flowers on it .	*CHI: what is it ?
7416,"*MOT: I don't know , Fraser .	*CHI: is this the tag for it ?","*MOT: I don't know , Fraser .	*CHI: we didn't ski at all ."
7417,*MOT: what's come out ?	*CHI: all the balls .,*MOT: what's come out ?	*CHI: you know what .
7418,*MOT: what's that he got on his head ?	*CHI: a space helmet .,*MOT: what's that he got on his head ?	*CHI: no orange digger .
7419,*MOT: with a big bump .	*CHI: what is he doing Mommy ?,*MOT: with a big bump .	*CHI: why do flags have names ?
7420,"*MOT: what was she, what is she doing ?	*CHI: there nothing down in there .","*MOT: what was she, what is she doing ?	*CHI: just make a little tower ."
7421,"*MOT: where's he supposed to run to ?	*CHI: , he's, he's a .",*MOT: where's he supposed to run to ?	*CHI: see my tree it's for me .
7422,*MOT: what's the cow's favorite show ?	*CHI: I watch Mowgli at home .,*MOT: what's the cow's favorite show ?	*CHI: Amy's eating a bit of paper .
7423,*MOT: what are they doing now ?	*CHI: Daddy going to knock him over .,*MOT: what are they doing now ?	*CHI: I don't want to though .
7424,*MOT: who put those on there ?	*CHI: Daddy stick it .,*MOT: who put those on there ?	*CHI: I said oh .
